제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
상식의 재구성,조선희 ,역자 없음, 2021-07-01, 560 쪽," 22,000원"," 19,800원"," 1,100점 "
업무에 바로 쓰는 SQL 튜닝,양바른 ,역자 없음, 2021-07-01, 296 쪽," 22,000원"," 19,800원"," 1,100점 "
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영 ,역자 없음, 2021-06-30, 624 쪽," 29,000원"," 29,000원", 870점 
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은 ,역자 없음, 2021-06-30, 548 쪽," 30,000원"," 30,000원", 900점 
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수 ,역자 없음, 2021-06-30, 560 쪽," 30,000원"," 30,000원", 900점 
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍 ,역자 없음, 2021-06-30, 580 쪽," 29,000원"," 29,000원", 870점 
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 숲속 놀이터,클레어 스탬퍼 ,역자 없음, 2021-06-30, 96 쪽," 8,000원"," 7,200원", 400점 
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 우리 동네,자나 컬 ,역자 없음, 2021-06-30, 96 쪽," 8,000원"," 7,200원", 400점 
처음 배우는 네트워크 보안,장상근(맥스) ,역자 없음, 2021-06-30, 324 쪽," 28,000원"," 25,200원"," 1,400점 "
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아 ",역자 없음, 2021-06-28, 428 쪽," 24,000원"," 24,000원", 720점 
"IT CookBook, 정보 보안 개론(4판)",양대일 ,역자 없음, 2021-06-28, 568 쪽," 30,000원"," 30,000원", 900점 
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철 ",역자 없음, 2021-06-28, 472 쪽," 24,000원"," 24,000원", 720점 
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh , 한빛수학교재연구소 , 2021-06-28, 580 쪽," 32,000원"," 32,000원", 960점 
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott) ," 한빛수학교재연구소 , 김세익(감수) ", 2021-06-28, 384 쪽," 26,000원"," 26,000원", 780점 
초보 판매자가 빅파워셀러로 거듭나는 네이버 스마트스토어 마케팅 시작하기,정진수 ,역자 없음, 2021-06-28, 252 쪽," 17,800원"," 16,020원", 890점 
게임세대 내 아이와 소통하는 법,이장주 ,역자 없음, 2021-06-25, 272 쪽," 16,000원"," 14,400원", 800점 
세상에서 제일 친절한 엑셀(개정판),박재영 ,역자 없음, 2021-06-25, 364 쪽," 18,000원"," 16,200원", 900점 
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM , 허경용 , 2021-06-21, 480 쪽," 32,000원"," 32,000원", 960점 
고개를 끄덕이는 것만으로도 위로가 되니까,문지애 ,역자 없음, 2021-06-21, 248 쪽," 15,000원"," 13,500원", 750점 
"IT CookBook, 난생처음 인공지능 입문",서지영 ,역자 없음, 2021-06-18, 428 쪽," 25,000원"," 25,000원", 750점 
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱 ",역자 없음, 2021-06-14, 288 쪽," 20,000원"," 20,000원", 600점 
회사에서 바로 통하는 실무 엑셀 함수&수식 - 모든 버전용,"김경자 , 송선영 ",역자 없음, 2021-06-11, 448 쪽," 24,000원"," 21,600원"," 1,200점 "
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범 ",역자 없음, 2021-06-10, 416 쪽," 22,000원"," 22,000원", 660점 
지리의 쓸모,전국지리교사모임 ,역자 없음, 2021-06-10, 360 쪽," 18,800원"," 16,920원", 940점 
"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수 ",역자 없음, 2021-06-07, 440 쪽," 26,000원"," 26,000원", 780점 
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭 ",역자 없음, 2021-06-07, 448 쪽," 25,000원"," 25,000원", 750점 
개발자에서 아키텍트로,마이클 킬링 , 김영재 , 2021-06-07, 392 쪽," 27,000원"," 24,300원"," 1,350점 "
머신러닝을 활용한 웹 최적화,이쓰카 슈헤이 , 김연수 , 2021-06-07, 340 쪽," 34,000원"," 30,600원"," 1,700점 "
파이썬으로 살펴보는 아키텍처 패턴,"해리 퍼시벌 , 밥 그레고리 ", 오현석 , 2021-06-03, 356 쪽," 32,000원"," 28,800원"," 1,600점 "
NGINX 쿡북,데릭 디용기 , 노승헌 , 2021-06-01, 236 쪽," 20,000원"," 18,000원"," 1,000점 "
리얼 국내여행 [2021~2022년 최신판],배나영 ,역자 없음, 2021-06-01, 428 쪽," 18,000원"," 16,200원", 900점 
리얼 제주 [2021~2022년 최신판],"김태연(제주레이) , 양정임(제주규리) ", 2021-06-01, 352 쪽, 9791190846172," 17,000원"," 15,300원", 850점 
린 AI,로밋 파텔 ," 박기석 , 최은정 ", 2021-06-01, 260 쪽," 18,000원"," 16,200원", 900점 
지금 당장 회계공부 시작하라(전면개정판),"강대준 , 신홍철 ",역자 없음, 2021-06-01, 424 쪽," 19,800원"," 17,820원", 990점 
파이토치로 배우는 자연어 처리,"델립 라오 , 브라이언 맥머핸 ", 박해선 , 2021-06-01, 296 쪽," 26,000원"," 23,400원"," 1,300점 "
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연 ,역자 없음, 2021-05-31, 432 쪽," 24,000원"," 24,000원", 720점 
보고서 발표 실무 강의 - 잘 쓰고 제대로 전달하는 보고의 기술,채종서 ,역자 없음, 2021-05-31, 232 쪽," 18,000원"," 16,200원", 900점 
만화로 배우는 서양사 중세 3,"올리비에 보비노 , 파스칼 마냐 ", 이정은 , 2021-05-28, 168 쪽," 18,500원"," 16,650원", 925점 
소문난 명강의 : 오준석의 플러터 생존코딩(개정판),오준석 ,역자 없음, 2021-05-28, 340 쪽," 28,000원"," 25,200원"," 1,400점 "
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란 ",역자 없음, 2021-05-24, 572 쪽," 25,000원"," 25,000원", 750점 
재미있고 빠른 첫 한글 쓰기 2권 : 가나다 글자,한빛학습연구회 ,역자 없음, 2021-05-20, 80 쪽," 6,500원"," 5,850원", 325점 
재미있고 빠른 첫 한글 준비 선 긋기 2권 : 글자 모양 따라 긋기,한빛학습연구회 ,역자 없음, 2021-05-20, 64 쪽," 6,000원"," 5,400원", 300점 
테슬라 웨이,미카엘 발랑탱 , 오웅석 , 2021-05-20, 268 쪽," 17,500원"," 15,750원", 875점 
모던 자바스크립트 핵심 가이드,알베르토 몬탈레시 ," 임지순 , 권영재 ", 2021-05-14, 284 쪽," 19,800원"," 17,820원", 990점 
고성능 파이썬(2판),"미샤 고렐릭 , 이안 오스발트 ",역자 없음, 오현석 , 2021-05-10," 36,000원"," 32,400원"," 1,800점 "
"데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ", 대니얼WJ , 2021-05-10, 428 쪽," 35,000원"," 31,500원"," 1,750점 "
